id,distance_from_goal,angle_from_goal,angle_from_shot_location_on_goal,dif_goal_centre_from_goal_loc,goal_y,saved,power
1,31.1133403778076,39.522632598877,48.154842376709,7,4,1,0
2,24.890962600708,15.3762512207031,17.5712585449219,1,2,0,3
3,24.890962600708,15.3762512207031,3.81407475471497,5,3,0,2
4,24.890962600708,15.3762512207031,8.53076553344727,3,3,0,2
5,36.5999984741211,10.3888578414917,20.6954498291016,7,4,0,3
6,72.8354339599609,8.686354637146,1.59114027023315,9,2,0,3
7,36.5999984741211,10.3888578414917,2.5448043346405,5,4,1,1
8,51.9234046936035,22.4161472320557,17.1362743377686,5,3,1,3
9,61,10.3888578414917,0,11,4,0,3
10,11.6431312561035,75.0685806274414,54.7824058532715,7,4,0,1
11,30.2334671020508,60.2551193237305,48.9909133911133,9,3,1,2
12,48.4516258239746,7.82907629013062,11.3099327087402,3,1,1,2
13,24.890962600708,15.3762512207031,8.53076553344727,3,4,0,1
14,79.2022705078125,24.6235656738281,16.9908237457275,11,4,1,2
15,48.8364601135254,42.5104484558105,41.6335411071777,1,2,1,3
16,14.4070291519165,51.3401908874512,34.77783203125,5,4,0,2
17,15.4616460800171,14.0362434387207,-12.2251224517822,7,2,0,1
18,24.890962600708,15.3762512207031,17.5712585449219,1,3,1,2
19,41.085765838623,28.8107929229736,19.5731258392334,7,4,0,1
20,41.085765838623,28.8107929229736,32.3474426269531,3,4,1,2
21,36.5999984741211,10.3888578414917,14.93141746521,3,3,1,1
22,72.8354339599609,8.686354637146,12.5288076400757,5,4,1,2
23,24.890962600708,15.3762512207031,33.023868560791,9,4,0,1
24,61,10.3888578414917,16.6992435455322,7,2,0,3
25,61,10.3888578414917,1.90915238857269,9,4,0,2
26,4.80234336853027,51.3401908874512,66.0375137329102,3,3,0,3
27,41.085765838623,28.8107929229736,34.5625228881836,5,4,1,2
28,41.085765838623,28.8107929229736,25.0168933868408,3,4,0,2
29,14.4070291519165,51.3401908874512,57.7243537902832,3,2,0,1
30,51.9234046936035,22.4161472320557,27.3238906860352,5,2,1,3
31,72.8354339599609,8.686354637146,7.9071626663208,1,1,1,3
32,90.6035308837891,37.3758087158203,37.8749847412109,1,2,1,3
33,72.8354339599609,8.686354637146,0,11,2,1,2
34,58.5699577331543,52.0735359191895,48.8534812927246,5,3,1,2
35,41.085765838623,28.8107929229736,13.7362680435181,11,3,0,3
36,15.4616460800171,14.0362434387207,2.86240530014038,3,2,0,2
37,36.5999984741211,10.3888578414917,17.8600940704346,5,4,0,3
38,90.2496566772461,21.4477367401123,20.8544578552246,1,4,1,3
39,68.4762725830078,28.8107929229736,36.2538375854492,11,4,0,3
40,18.75,36.8698959350586,50.5826072692871,7,3,0,3
41,79.2022705078125,24.6235656738281,27.8240966796875,5,2,1,3
42,24.890962600708,15.3762512207031,25.7960262298584,5,4,0,2
43,14.4070291519165,51.3401908874512,66.0375137329102,9,3,0,1
44,51.9234046936035,22.4161472320557,30.9637565612793,9,4,0,2
45,52.0618858337402,62.5490036010742,66.5014343261719,9,3,1,4
46,18.75,36.8698959350586,22.6198654174805,5,4,0,1
47,40.8044128417969,53.9726257324219,49.3987045288086,5,3,0,4
48,79.2022705078125,24.6235656738281,25.2777214050293,1,1,0,4
49,56.0446243286133,74.4758911132813,72.2995758056641,7,4,0,2
50,36.5999984741211,10.3888578414917,11.9207382202148,1,1,1,1
51,48.4516258239746,7.82907629013062,11.3099327087402,3,2,1,3
52,15.4616460800171,14.0362434387207,2.86240530014038,3,4,0,2
53,14.4070291519165,51.3401908874512,66.0375137329102,9,3,0,2
54,36.5999984741211,10.3888578414917,20.6954498291016,7,4,0,0
55,24.890962600708,15.3762512207031,8.53076553344727,3,2,0,4
56,31.1133403778076,39.522632598877,43.5312004089355,3,4,1,2
57,58.2494621276855,34.5085220336914,32.0053825378418,3,4,1,1
58,31.1133403778076,39.522632598877,43.5312004089355,3,4,1,0
59,14.4070291519165,51.3401908874512,67.9769439697266,11,3,0,3
60,14.4070291519165,51.3401908874512,14.0362434387207,9,3,0,0
61,24.890962600708,15.3762512207031,3.81407475471497,5,3,0,2
62,15.4616460800171,14.0362434387207,10.3888578414917,1,3,1,1
63,9.75,22.6198654174805,-7.9071626663208,5,4,0,0
64,79.2022705078125,24.6235656738281,29.0546035766602,7,2,1,3
65,41.085765838623,28.8107929229736,30.018367767334,1,2,1,2
66,72.8354339599609,8.686354637146,4.76364183425903,5,4,1,2
67,90.6035308837891,37.3758087158203,42.5104484558105,11,3,1,2
68,15.4616460800171,14.0362434387207,-12.2251224517822,7,2,0,3
69,48.4516258239746,7.82907629013062,1.90915238857269,5,4,0,2
70,90.6035308837891,37.3758087158203,33.6900672912598,7,3,0,2
71,79.2022705078125,24.6235656738281,31.4295654296875,11,1,0,3
72,41.085765838623,28.8107929229736,16.6992435455322,9,4,0,1
73,72.8354339599609,8.686354637146,12.5288076400757,5,4,1,3
74,84.7171783447266,7.46056604385376,14.6763935089111,11,1,0,4
75,41.085765838623,28.8107929229736,30.018367767334,1,3,1,2
76,18.75,36.8698959350586,56.0138320922852,11,4,0,2
77,31.1133403778076,39.522632598877,40.9143829345703,1,3,1,3
78,15.4616460800171,14.0362434387207,-12.2251224517822,7,4,0,2
79,9.75,22.6198654174805,-30.2564373016357,9,3,0,2
80,24.890962600708,15.3762512207031,25.7960262298584,5,3,0,2
81,41.085765838623,28.8107929229736,19.5731258392334,7,4,0,2
82,52.0618858337402,62.5490036010742,65.7185363769531,7,4,1,2
83,41.085765838623,28.8107929229736,36.6656341552734,7,4,1,1
84,61,10.3888578414917,1.90915238857269,9,2,1,1
85,66.6216201782227,43.9053077697754,47.941463470459,7,1,1,2
86,18.75,36.8698959350586,50.5826072692871,7,4,0,2
87,24.890962600708,15.3762512207031,21.8014087677002,3,3,0,2
88,4.80234336853027,51.3401908874512,66.0375137329102,3,3,0,1
89,79.2022705078125,24.6235656738281,23.9624881744385,1,4,1,3
90,48.8364601135254,42.5104484558105,48.0127868652344,7,4,1,2
91,31.1133403778076,39.522632598877,24.2277450561523,9,4,0,2
92,48.8364601135254,42.5104484558105,39.8055725097656,3,2,1,1
93,41.085765838623,28.8107929229736,32.3474426269531,3,4,1,0
94,58.2494621276855,34.5085220336914,32.0053825378418,3,2,1,2
95,18.75,36.8698959350586,15.8191938400269,7,3,0,1
96,31.1133403778076,39.522632598877,48.154842376709,7,4,1,1
97,51.9234046936035,22.4161472320557,19.2900466918945,3,4,1,2
98,41.085765838623,28.8107929229736,25.0168933868408,3,4,1,2
99,52.0618858337402,62.5490036010742,66.5014343261719,9,2,1,2
100,24.890962600708,15.3762512207031,3.81407475471497,5,4,0,2
101,41.085765838623,28.8107929229736,13.7362680435181,11,2,0,3
102,58.5699577331543,52.0735359191895,57.8148956298828,11,3,0,2
103,48.8364601135254,42.5104484558105,50.7105941772461,11,4,0,2
104,68.4762725830078,28.8107929229736,33.6900672912598,7,3,1,1
105,41.085765838623,28.8107929229736,36.6656341552734,7,4,0,3
106,36.5999984741211,10.3888578414917,20.6954498291016,7,1,0,3
107,48.4516258239746,7.82907629013062,13.5859909057617,5,4,1,1
108,68.4762725830078,28.8107929229736,29.538782119751,1,4,1,2
109,9.75,22.6198654174805,50.0636177062988,7,4,0,2
110,9.75,22.6198654174805,-7.9071626663208,5,4,0,1
111,72.8354339599609,8.686354637146,11.0035409927368,3,4,1,3
112,15.4616460800171,14.0362434387207,40.3645362854004,9,4,0,0
113,31.1133403778076,39.522632598877,48.154842376709,7,4,1,2
114,36.5999984741211,10.3888578414917,14.93141746521,3,3,1,2
115,48.4516258239746,7.82907629013062,15.8191938400269,7,3,0,3
116,18.75,36.8698959350586,39.2373657226563,1,1,0,2
117,24.890962600708,15.3762512207031,-5.71059322357178,9,1,0,1
118,96.6281509399414,6.53663349151611,9.46232223510742,5,2,1,3
119,36.5999984741211,10.3888578414917,23.4286918640137,9,4,0,2
120,24.890962600708,15.3762512207031,13.1340227127075,1,1,0,2
121,48.8364601135254,42.5104484558105,50.7105941772461,11,4,0,2
122,72.8354339599609,8.686354637146,6.34019184112549,3,1,1,2
123,31.1133403778076,39.522632598877,24.2277450561523,9,4,0,2
124,41.085765838623,28.8107929229736,13.7362680435181,11,4,0,1
125,68.4762725830078,28.8107929229736,25.0168933868408,5,1,0,1
126,14.4070291519165,51.3401908874512,66.0375137329102,9,4,0,2
127,61,10.3888578414917,18.4349479675293,9,3,0,2
128,90.2496566772461,21.4477367401123,27.645975112915,11,4,0,3
129,36.5999984741211,10.3888578414917,-0.636593580245972,7,1,0,3
130,24.890962600708,15.3762512207031,-5.71059322357178,9,4,0,1
131,24.0117168426514,51.3401908874512,38.0727806091309,7,3,1,2
132,15.4616460800171,14.0362434387207,-12.2251224517822,7,1,0,3
133,41.085765838623,28.8107929229736,25.0168933868408,3,4,1,2
134,51.9234046936035,22.4161472320557,27.3238906860352,5,4,1,2
135,48.8364601135254,42.5104484558105,35.8376541137695,7,4,0,3
136,27.75,71.0753555297852,62.4471893310547,9,3,1,1
137,18.75,36.8698959350586,43.5312004089355,3,2,0,2
138,61,10.3888578414917,18.4349479675293,9,3,0,2
139,15.4616460800171,14.0362434387207,24.2277450561523,3,4,0,3
140,101.513542175293,18.9704074859619,18.4349479675293,1,1,0,3
141,30.2334671020508,60.2551193237305,59.2871704101563,1,4,0,2
142,48.4516258239746,7.82907629013062,13.5859909057617,5,2,0,3
143,67.6830825805664,77.1957321166992,75.2564392089844,9,1,1,3
144,24.890962600708,15.3762512207031,-5.71059322357178,9,4,0,2
145,58.2494621276855,34.5085220336914,41.1859245300293,9,4,0,2
146,48.4516258239746,7.82907629013062,20.136302947998,11,3,0,3
147,41.085765838623,28.8107929229736,32.3474426269531,3,2,1,2
148,72.8354339599609,8.686354637146,0,11,1,0,3
149,15.4616460800171,14.0362434387207,24.2277450561523,3,4,0,2
150,24.890962600708,15.3762512207031,29.538782119751,7,4,0,2
151,36.5999984741211,10.3888578414917,5.71059322357178,3,4,1,2
152,52.0618858337402,62.5490036010742,67.2380294799805,11,1,0,3
