"id","distance_from_goal","angle_from_goal","angle_from_shot_location_on_goal","dif_goal_centre_from_goal_loc","goal_y","saved","power"
1,"56.0446243286133","74.4758911132813","76.6075057983398","9",3,1,2
2,"61","10.3888578414917","3.81407475471497","7",3,0,3
3,"58.5699577331543","52.0735359191895","48.8534812927246","5",3,1,3
4,"61","10.3888578414917","16.6992435455322","7",4,1,2
5,"48.8364601135254","42.5104484558105","45","3",4,1,2
6,"36.5999984741211","10.3888578414917","20.6954498291016","7",2,0,3
7,"9.75","22.6198654174805","-7.9071626663208","5",4,0,2
8,"84.7171783447266","7.46056604385376","14.6763935089111","11",2,1,2
9,"18.75","36.8698959350586","15.8191938400269","7",3,1,1
10,"9.75","22.6198654174805","36.8698959350586","3",4,0,1
11,"48.4516258239746","7.82907629013062","15.8191938400269","7",4,0,2
12,"14.4070291519165","51.3401908874512","1.59114027023315","11",3,0,1
13,"30.2334671020508","60.2551193237305","66.9486999511719","9",4,1,1
14,"27.75","71.0753555297852","59.4524269104004","11",3,1,1
15,"36.5999984741211","10.3888578414917","5.71059322357178","3",4,1,1
16,"52.0618858337402","62.5490036010742","62.0328826904297","1",4,1,1
17,"31.1133403778076","39.522632598877","38.0727806091309","1",3,1,1
18,"48.8364601135254","42.5104484558105","46.5481567382813","5",2,1,1
19,"100.404182434082","33.2152519226074","38.1572265625","11",2,1,3
20,"72.8354339599609","8.686354637146","9.46232223510742","1",4,1,0
21,"58.5699577331543","52.0735359191895","44.3562545776367","11",4,1,-1
22,"14.4070291519165","51.3401908874512","48.7152900695801","1",3,1,0
23,"36.5999984741211","10.3888578414917","17.8600940704346","5",3,1,0
24,"58.2494621276855","34.5085220336914","41.1859245300293","9",4,0,3
25,"9.75","22.6198654174805","4.76364183425903","3",4,0,2
26,"84.7171783447266","7.46056604385376","0","11",1,0,3
27,"58.2494621276855","34.5085220336914","24.6235656738281","11",4,1,2
28,"24.890962600708","15.3762512207031","-5.71059322357178","9",4,0,1
29,"27.75","71.0753555297852","67.0459136962891","5",4,1,2
30,"24.890962600708","15.3762512207031","25.7960262298584","5",3,1,1
31,"66.6216201782227","43.9053077697754","46.8476104736328","5",2,1,2
32,"79.2022705078125","24.6235656738281","23.9624881744385","1",4,1,3
33,"90.2496566772461","21.4477367401123","22.036226272583","1",3,1,2
34,"90.6035308837891","37.3758087158203","32.5740585327148","9",4,1,3
35,"41.085765838623","28.8107929229736","30.018367767334","1",4,1,1
36,"24.890962600708","15.3762512207031","25.7960262298584","5",1,1,1
37,"81.3941040039063","42.5104484558105","45","5",4,1,2
38,"56.0446243286133","74.4758911132813","77.0053863525391","11",2,0,3
39,"40.8044128417969","53.9726257324219","47.2906112670898","7",4,1,2
40,"24.890962600708","15.3762512207031","8.53076553344727","3",3,1,0
41,"48.8364601135254","42.5104484558105","41.6335411071777","1",4,1,0
42,"79.2022705078125","24.6235656738281","26.5650520324707","3",4,1,3
43,"66.6216201782227","43.9053077697754","45.7073211669922","3",3,1,3
44,"81.3941040039063","42.5104484558105","36.2538375854492","11",4,1,2
45,"72.8354339599609","8.686354637146","11.0035409927368","3",4,1,2
46,"40.8044128417969","53.9726257324219","51.3401908874512","3",3,1,0
47,"27.75","71.0753555297852","75.6772766113281","9",4,1,3
48,"58.5699577331543","52.0735359191895","50.1944274902344","3",4,1,0
49,"15.4616460800171","14.0362434387207","2.86240530014038","3",4,0,0
50,"61","10.3888578414917","3.81407475471497","7",1,0,2
51,"61","10.3888578414917","3.81407475471497","7",3,1,2
52,"58.5699577331543","52.0735359191895","44.3562545776367","11",4,0,1
53,"18.75","36.8698959350586","0.954841256141663","11",3,0,1
54,"40.8044128417969","53.9726257324219","60.2551193237305","9",4,1,0
55,"90.6035308837891","37.3758087158203","32.5740585327148","9",4,1,2
56,"24.890962600708","15.3762512207031","-0.954841256141663","7",4,0,2
57,"11.6431312561035","75.0685806274414","54.7824058532715","7",2,1,0
58,"31.1133403778076","39.522632598877","52.0735359191895","11",4,0,1
59,"24.890962600708","15.3762512207031","17.5712585449219","1",3,1,0
60,"90.2496566772461","21.4477367401123","14.6763935089111","11",4,1,1
61,"14.4070291519165","51.3401908874512","66.0375137329102","9",1,0,0
62,"24.890962600708","15.3762512207031","33.023868560791","9",4,0,1
63,"18.75","36.8698959350586","15.8191938400269","7",4,0,1
64,"24.890962600708","15.3762512207031","25.7960262298584","5",1,1,0
65,"36.5999984741211","10.3888578414917","8.84181499481201","1",3,1,2
66,"54.7448616027832","80.5376815795898","79.59228515625","5",4,1,2
67,"31.1133403778076","39.522632598877","50.1944274902344","9",3,0,2
68,"36.5999984741211","10.3888578414917","-6.96825695037842","11",4,1,1
69,"72.8354339599609","8.686354637146","9.46232223510742","1",2,1,2
70,"48.8364601135254","42.5104484558105","33.6900672912598","9",3,1,2
71,"31.1133403778076","39.522632598877","40.9143829345703","1",3,1,1
72,"51.9234046936035","22.4161472320557","23.4286918640137","1",2,0,4
73,"56.0446243286133","74.4758911132813","74.1974868774414","1",2,0,2
74,"90.2496566772461","21.4477367401123","19.6538238525391","3",4,1,1
75,"41.085765838623","28.8107929229736","27.5745639801025","1",3,1,3
76,"31.1133403778076","39.522632598877","38.0727806091309","1",4,1,0
77,"56.0446243286133","74.4758911132813","71.5650482177734","9",4,0,0
78,"11.6431312561035","75.0685806274414","81.5730285644531","9",4,0,1
79,"84.7171783447266","7.46056604385376","13.3924980163574","9",4,1,1
80,"90.2496566772461","21.4477367401123","19.6538238525391","3",2,1,2
81,"48.8364601135254","42.5104484558105","46.5481567382813","5",4,1,1
82,"81.3941040039063","42.5104484558105","37.4761810302734","9",4,1,2
83,"36.5999984741211","10.3888578414917","11.9207382202148","1",4,1,1
84,"36.5999984741211","10.3888578414917","-0.636593580245972","7",4,0,2
85,"36.5999984741211","10.3888578414917","2.5448043346405","5",4,0,1
86,"61","10.3888578414917","18.4349479675293","9",4,0,3
87,"68.4762725830078","28.8107929229736","26.5650520324707","3",2,1,3
88,"24.890962600708","15.3762512207031","13.1340227127075","1",3,0,3
89,"66.6216201782227","43.9053077697754","45.7073211669922","3",4,1,3
90,"24.0117168426514","51.3401908874512","57.7243537902832","5",4,0,1
91,"48.8364601135254","42.5104484558105","46.5481567382813","5",2,1,2
92,"48.8364601135254","42.5104484558105","48.0127868652344","7",3,1,2
93,"68.4762725830078","28.8107929229736","36.2538375854492","11",4,1,0
94,"58.5699577331543","52.0735359191895","47.4366493225098","7",4,1,3
95,"72.8354339599609","8.686354637146","0","11",4,1,0
96,"90.2496566772461","21.4477367401123","25.4633445739746","7",4,1,1
97,"72.8354339599609","8.686354637146","3.1798300743103","7",4,1,1
98,"79.2022705078125","24.6235656738281","29.0546035766602","7",2,1,2
99,"58.5699577331543","52.0735359191895","56.8886566162109","9",4,1,0
100,"56.0446243286133","74.4758911132813","76.1849746704102","7",4,1,1
101,"48.4516258239746","7.82907629013062","15.8191938400269","7",1,0,3
102,"72.8354339599609","8.686354637146","14.0362434387207","7",4,1,2
103,"68.4762725830078","28.8107929229736","36.2538375854492","11",2,0,2
104,"14.4070291519165","51.3401908874512","61.0202941894531","5",2,0,0
105,"84.7171783447266","7.46056604385376","13.3924980163574","9",2,0,2
106,"40.8044128417969","53.9726257324219","42.5104484558105","11",4,0,1
107,"36.5999984741211","10.3888578414917","14.93141746521","3",4,1,1
108,"90.2496566772461","21.4477367401123","17.1985416412354","7",4,1,2
109,"48.4516258239746","7.82907629013062","8.99714374542236","1",2,1,3
110,"51.9234046936035","22.4161472320557","23.4286918640137","1",3,1,1
111,"58.5699577331543","52.0735359191895","54.8879890441895","5",4,1,0
112,"66.6216201782227","43.9053077697754","47.941463470459","7",4,1,1
113,"18.75","36.8698959350586","50.5826072692871","7",4,1,1
114,"52.0618858337402","62.5490036010742","67.2380294799805","11",4,1,2
115,"36.5999984741211","10.3888578414917","17.8600940704346","5",4,1,1
116,"48.4516258239746","7.82907629013062","-2.86240530014038","9",4,1,1
117,"36.5999984741211","10.3888578414917","23.4286918640137","9",4,1,0
118,"41.085765838623","28.8107929229736","30.018367767334","1",4,0,2
119,"24.890962600708","15.3762512207031","25.7960262298584","5",1,0,1
120,"48.8364601135254","42.5104484558105","48.0127868652344","7",4,1,-1
121,"96.6281509399414","6.53663349151611","2.3859441280365","7",4,1,2
122,"61","10.3888578414917","16.6992435455322","7",4,1,1
123,"100.404182434082","33.2152519226074","33.6900672912598","1",3,1,3
124,"15.4616460800171","14.0362434387207","2.86240530014038","3",4,1,1
125,"24.890962600708","15.3762512207031","-0.954841256141663","7",3,0,1
126,"15.4616460800171","14.0362434387207","24.2277450561523","3",4,0,0
127,"142.134613037109","75.3282470703125","76.1940460205078","9",2,1,2
128,"48.4516258239746","7.82907629013062","1.90915238857269","5",4,1,0
129,"31.1133403778076","39.522632598877","38.0727806091309","1",3,1,0
130,"81.3941040039063","42.5104484558105","38.6598091125488","7",4,1,2
131,"36.5999984741211","10.3888578414917","14.93141746521","3",2,1,0
132,"90.2496566772461","21.4477367401123","26.5650520324707","9",4,1,2
133,"61","10.3888578414917","0","11",4,0,2
134,"52.0618858337402","62.5490036010742","58.5231590270996","7",4,1,1
135,"90.2496566772461","21.4477367401123","24.3410892486572","5",2,1,4
136,"69.4576110839844","58.7815971374512","62.2414588928223","9",3,1,2
137,"40.8044128417969","53.9726257324219","49.3987045288086","5",3,1,1
138,"31.1133403778076","39.522632598877","43.5312004089355","3",3,1,1
139,"58.2494621276855","34.5085220336914","28.442928314209","7",4,1,2
140,"79.2022705078125","24.6235656738281","26.5650520324707","3",4,1,1
141,"58.5699577331543","52.0735359191895","47.4366493225098","7",4,1,0
